datetime	open	high	low	close	volume
2026-08-04 00:21:00	63430.1	63484.1	63422.9	63466.8	21.858
2026-08-04 00:22:00	63466.8	63466.8	63402.2	63429.4	51.514
2026-08-04 00:23:00	63429.4	63429.4	63406.6	63425.4	9.722
2026-08-04 00:24:00	63425.4	63430.7	63414	63420.3	7.805
2026-08-04 00:25:00	63420.3	63420.3	63402.7	63415	7.048
2026-08-04 00:26:00	63415	63420	63411.3	63420	4.917
2026-08-04 00:27:00	63420	63420	63390.1	63390.1	9.825
2026-08-04 00:28:00	63390.1	63390.2	63370	63375.1	24.148
2026-08-04 00:29:00	63375.1	63427.2	63375	63427.1	48.486
2026-08-04 00:30:00	63427.1	63427.1	63390	63390	5.415
2026-08-04 00:31:00	63390	63424	63382.1	63386.1	14.795
2026-08-04 00:32:00	63386.1	63386.1	63358	63373.5	27.195
2026-08-04 00:33:00	63373.5	63374.4	63358	63358	6.487
2026-08-04 00:34:00	63358	63397.9	63358	63363.8	19.935
2026-08-04 00:35:00	63363.8	63363.8	63310.3	63332	119.619
2026-08-04 00:36:00	63332	63385.5	63332	63377	71.617
2026-08-04 00:37:00	63377	63377.1	63343.3	63365	15.762
2026-08-04 00:38:00	63365	63365	63320.3	63337.1	17.822
2026-08-04 00:39:00	63337.1	63365	63337.1	63350.4	32.384
2026-08-04 00:40:00	63350.4	63369.6	63350.3	63358	13.596
2026-08-04 00:41:00	63358	63358.1	63322.5	63322.5	12.978
2026-08-04 00:42:00	63322.5	63350	63310	63333.8	63.359
2026-08-04 00:43:00	63333.8	63367	63333.3	63363.8	46.749
2026-08-04 00:44:00	63363.8	63371	63362.5	63366.8	11.982
2026-08-04 00:45:00	63366.8	63383.3	63346.9	63349.1	11.087
2026-08-04 00:46:00	63349.1	63349.3	63342.8	63347.1	5.389
2026-08-04 00:47:00	63347.1	63358.9	63321.1	63329	41.504
2026-08-04 00:48:00	63329	63353	63329	63352.9	9.068
2026-08-04 00:49:00	63352.9	63421	63352.9	63408	54.009
2026-08-04 00:50:00	63408	63461.5	63404.7	63407.7	109.205
2026-08-04 00:51:00	63407.7	63407.8	63404.7	63405.7	10.196
2026-08-04 00:52:00	63405.7	63418.5	63392.6	63396.9	9.57
2026-08-04 00:53:00	63396.9	63396.9	63367	63375	11.665
2026-08-04 00:54:00	63375	63376	63360	63370.1	24.243
2026-08-04 00:55:00	63370.1	63387.7	63300.1	63300.5	91.164
2026-08-04 00:56:00	63300.5	63350.4	63286.4	63345.5	65.448
2026-08-04 00:57:00	63345.5	63345.6	63330	63330	9.195
2026-08-04 00:58:00	63330	63330	63315.3	63326.9	6.067
2026-08-04 00:59:00	63326.9	63337.6	63314.2	63337.6	5.735
2026-08-04 01:00:00	63337.6	63366.7	63331.4	63366.7	83.881
2026-08-04 01:01:00	63366.7	63433.6	63366.6	63433.6	33.125
2026-08-04 01:02:00	63433.6	63434	63402.6	63403.7	18.213
2026-08-04 01:03:00	63403.7	63424.7	63380.9	63422.9	17
2026-08-04 01:04:00	63422.9	63422.9	63379.1	63400.1	18.168
2026-08-04 01:05:00	63400.1	63473.4	63400	63459.1	26.888
